"","NO_","POI","NOMBRE_POI","ESPECIALID","DIRECCION","NUMEXT","INTERIOR","CP","SENAS","COLONIA","DELEGACION","SECTOR","LATITUDE","LONGITUDE","TIPO","PROY_CART","CREACION","ACTUALIZAC","COB1_STV","COB2_TOTEM","FUENTE","ID_ESTADO","IDENT_CATE","IDENT_SUBC","IDENT_POI","INFORMACIO"
"1","C5-25-00001","PANTEONES","PANTEON SANTA MARIA NATIVITAS ZACAPAN","PANTEON - CEMENTERIO","CAM A SANTA CECILIA","SN","SN",16450,"JUAN BADIANO","LOMAS DE TONALCO","XOCHIMILCO","TEPEPAN",19.24416402,-99.09682265,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","16784","MC13368, MC13369, MC19132, MC19133","STREET VIEW",9,"VERDADERO",25,"C5-25-00001","PANTEON SANTA MARIA NATIVITAS ZACAPAN, CAM A SANTA CECILIA, JUAN BADIANO, LOMAS DE TONALCO, XOCHIMILCO"
"2","C5-25-00002","PANTEONES","PANTEON NUEVO TECACALANCO SANTA CRUZ","PANTEON - CEMENTERIO","QUETZALCOATL","SN","SN",16515,"LA CRUZ","TECACALANCO","XOCHIMILCO","TEPEPAN",19.237187,-99.067441,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","MC19135","STREET VIEW",9,"VERDADERO",25,"C5-25-00002","PANTEON NUEVO TECACALANCO SANTA CRUZ, QUETZALCOATL, LA CRUZ, TECACALANCO, XOCHIMILCO"
"3","C5-25-00003","PANTEONES","PANTEON XILOTEPEC","PANTEON - CEMENTERIO","CARR A SANTIAGO","SN","SN",16030,"REFORMA Y 5 DE MAYO","LA NORIA TEPEPAN","XOCHIMILCO","LA NORIA",19.26040473,-99.12258539,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","4249, 16865, 16864,4246","MC13416, MC13396, MC19121, MC19120, MC19119, MC13341, MC19124, MC19122, MC19123","STREET VIEW",9,"VERDADERO",25,"C5-25-00003","PANTEON XILOTEPEC, CARR A SANTIAGO, REFORMA Y 5 DE MAYO, LA NORIA TEPEPAN, XOCHIMILCO"
"4","C5-25-00004","PANTEONES","PANTEON PEÃ‘ON DE LOS BAÃ‘OS","PANTEON - CEMENTERIO","SOLES","SN","SN",15520,"HERMOSILLO","PENSADOR MEXICANO","VENUSTIANO CARRANZA","MOCTEZUMA",19.442623,-99.080706,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","11987, 3899","MC19117, MC19118","STREET VIEW",9,"VERDADERO",25,"C5-25-00004","PANTEON PEÃ‘ON DE LOS BAÃ‘OS, SOLES, HERMOSILLO, PENSADOR MEXICANO, VENUSTIANO CARRANZA"
"5","C5-25-00005","PANTEONES","PANTEON SAN ANDRES AHUAYUCAN","PANTEON - CEMENTERIO","NIÃ‘OS HEROES","SN","SN",16800,"ENTRE MATAMOROS Y MIGUEL","QUIRINO MENDOZA (SAN LUCAS XOCHIMANCA)","XOCHIMILCO","LA NORIA",19.22988994,-99.10898427,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","MC13418,MC19125,MC13440,MC13423","STREET VIEW",9,"VERDADERO",25,"C5-25-00005","PANTEON SAN ANDRES AHUAYUCAN, NIÃ‘OS HEROES, ENTRE MATAMOROS Y MIGUEL, QUIRINO MENDOZA (SAN LUCAS XOCHIMANCA), XOCHIMILCO"
"6","C5-25-00006","PANTEONES","PANTEON SAN FRANCISCO TLALNEPANTLA","PANTEON - CEMENTERIO","PROLONGACION REFORMA","SN","SN",16889,"","SAN FRANCISCO TLALNEPANTLA","XOCHIMILCO","LA NORIA",19.19362159,-99.12064888,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","MC19126","STREET VIEW",9,"VERDADERO",25,"C5-25-00006","PANTEON SAN FRANCISCO TLALNEPANTLA, PROLONGACION REFORMA, , SAN FRANCISCO TLALNEPANTLA, XOCHIMILCO"
"7","C5-25-00007","PANTEONES","PANTEON SAN GREGORIO ATLAPULCO","PANTEON - CEMENTERIO","AVENIDA MEXICO ORIENTE","SN","SN",16600,"ENTRE ALTAVISTA Y CALVARI","SAN GREGORIO ATLAPULCO","XOCHIMILCO","TEPEPAN",19.25413928,-99.04810242,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","16910","MC13509","STREET VIEW",9,"VERDADERO",25,"C5-25-00007","PANTEON SAN GREGORIO ATLAPULCO, AVENIDA MEXICO ORIENTE, ENTRE ALTAVISTA Y CALVARI, SAN GREGORIO ATLAPULCO, XOCHIMILCO"
"8","C5-25-00008","PANTEONES","PANTEON SAN JOSE","PANTEON - CEMENTERIO","SANTIAGO","SN","SN",8220,"ANDRES MOLINA E","SAN PEDRO","IZTACALCO","IZTACCIHUATL",19.392859,-99.13012,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","11400, 7774","MC6430, MC6452, MC19043, MC19046, MC6453, MC19045, MC6448, MC19044","STREET VIEW",9,"VERDADERO",25,"C5-25-00008","PANTEON SAN JOSE, SANTIAGO, ANDRES MOLINA E, SAN PEDRO, IZTACALCO"
"9","C5-25-00009","PANTEONES","PANTEON SAN LORENZO","PANTEON - CEMENTERIO","CAM A SAN LORENZO","SN","SN",16400,"CDA SANTA MARIA NATIVITAS","SAN LORENZO ATEMOAYA","XOCHIMILCO","TEPEPAN",19.23854131,-99.09966788,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","4271","MC19130","STREET VIEW",9,"VERDADERO",25,"C5-25-00009","PANTEON SAN LORENZO, CAM A SAN LORENZO, CDA SANTA MARIA NATIVITAS, SAN LORENZO ATEMOAYA, XOCHIMILCO"
"10","C5-25-00010","PANTEONES","PANTEON SAN LUCAS XOCHIMANCA","PANTEON - CEMENTERIO","CAM AL MIRADOR","SN","SN",16810,"RIO SAN LUCAS","EL MIRADOR I","XOCHIMILCO","LA NORIA",19.23584362,-99.11008116,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","MC13631,MC19241","STREET VIEW",9,"VERDADERO",25,"C5-25-00010","PANTEON SAN LUCAS XOCHIMANCA, CAM AL MIRADOR, RIO SAN LUCAS, EL MIRADOR I, XOCHIMILCO"
"11","C5-25-00011","PANTEONES","PANTEON SAN LUIS TLAXIALTEMALCO","PANTEON - CEMENTERIO","CALVARIO","SN","SN",16629,"TETLALI","BARRIO LA GUADALUPANA","XOCHIMILCO","TEPEPAN",19.25453969,-99.03552496,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","MC13653, MC13543","STREET VIEW",9,"VERDADERO",25,"C5-25-00011","PANTEON SAN LUIS TLAXIALTEMALCO, CALVARIO, TETLALI, BARRIO LA GUADALUPANA, XOCHIMILCO"
"12","C5-25-00012","PANTEONES","PANTEON SAN MATEO","PANTEON - CEMENTERIO","CARR A TOPILEJO","SN","SN",16866,"ENTRE PASEO DE LA CRUZ Y","SAN MIGUEL","XOCHIMILCO","LA NORIA",19.21944325,-99.12683715,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","MC19134","STREET VIEW",9,"VERDADERO",25,"C5-25-00012","PANTEON SAN MATEO, CARR A TOPILEJO, ENTRE PASEO DE LA CRUZ Y, SAN MIGUEL, XOCHIMILCO"
"13","C5-25-00013","PANTEONES","PANTEON SANTA CECILIA TEPETLAPA","PANTEON - CEMENTERIO","PARAJE","SN","SN",16888,"","ZONA RUSTICA XOCHIMILCO","XOCHIMILCO","LA NORIA",19.20979365,-99.10218767,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/10/2017","23/02/2022","","","STREET VIEW",9,"VERDADERO",25,"C5-25-00013","PANTEON SANTA CECILIA TEPETLAPA, PARAJE, , ZONA RUSTICA XOCHIMILCO, XOCHIMILCO"
"14","C5-25-00014","PANTEONES","PANTEON SANTA CRUZ ACALPIXCA VIEJO","PANTEON - CEMENTERIO","2 DE ABRIL 355","SN","SN",16530,"CALVARIO","BARRIO LAS CRUCES","XOCHIMILCO","TEPEPAN",19.24347616,-99.07409726,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","7687","","STREET VIEW",9,"VERDADERO",25,"C5-25-00014","PANTEON SANTA CRUZ ACALPIXCA VIEJO, 2 DE ABRIL 355, CALVARIO, BARRIO LAS CRUCES, XOCHIMILCO"
"15","C5-25-00015","PANTEONES","PANTEON SANTIAGO TEPALCATLALPAN","PANTEON - CEMENTERIO","TEPALCATLALPAN","SN","SN",16200,"ENTRE ZAPOCO Y DEL PANTEO","SANTIAGO TEPALCATLALPAN","XOCHIMILCO","LA NORIA",19.25134845,-99.12747017,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","MC13912, MC19141, MC19142, MC19140","STREET VIEW",9,"VERDADERO",25,"C5-25-00015","PANTEON SANTIAGO TEPALCATLALPAN, TEPALCATLALPAN, ENTRE ZAPOCO Y DEL PANTEO, SANTIAGO TEPALCATLALPAN, XOCHIMILCO"
"16","C5-25-00016","PANTEONES","PANTEON SANTA MARIA TEPEPAN","PANTEON - CEMENTERIO","CUAUHTEMOC","SN","SN",16020,"ABASOLO","SANTA MARIA TEPEPAN","XOCHIMILCO","LA NORIA",19.27530701,-99.13964997,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","MC19139, MC19138","STREET VIEW",9,"VERDADERO",25,"C5-25-00016","PANTEON SANTA MARIA TEPEPAN, CUAUHTEMOC, ABASOLO, SANTA MARIA TEPEPAN, XOCHIMILCO"
"17","C5-25-00017","PANTEONES","PANTEON TULYEHUALCO","PANTEON - CEMENTERIO","FRANCISCO I. MADERO","SN","SN",16770,"ENTRE MARIA ISABEL E IGNA","SAN FELIPE","XOCHIMILCO","TEPEPAN",19.25572261,-99.02136646,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","16772","MC13466, MC19246, MC19144, MC19143, MC18053, MC19245","STREET VIEW",9,"VERDADERO",25,"C5-25-00017","PANTEON TULYEHUALCO, FRANCISCO I. MADERO, ENTRE MARIA ISABEL E IGNA, SAN FELIPE, XOCHIMILCO"
"18","C5-25-00018","PANTEONES","PANTEON CIVIL SAN ISIDRO","PANTEON - CEMENTERIO","EJE 3 NORTE","SN","SN",2710,"RENACIMIENTO","SAN JUAN TLIHUACA","AZCAPOTZALCO","CLAVERIA",19.485453,-99.20566,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","13091, 6395, 12786, 13081, 13080, 4680","MC19010, MC19007, MC17781, MC19008, MC19009, MC17758","STREET VIEW",9,"VERDADERO",25,"C5-25-00018","PANTEON CIVIL SAN ISIDRO, EJE 3 NORTE, RENACIMIENTO, SAN JUAN TLIHUACA, AZCAPOTZALCO"
"19","C5-25-00019","PANTEONES","PANTEON GRAL. SANTA CRUZ ACAYUCAN","PANTEON - CEMENTERIO","CAM DE NEXTENGO","87","SN",2790,"PONIENTE 74","SANTA APOLONIA","AZCAPOTZALCO","CLAVERIA",19.473297,-99.193508,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","4709","MC19016","STREET VIEW",9,"VERDADERO",25,"C5-25-00019","PANTEON GRAL. SANTA CRUZ ACAYUCAN, CAM DE NEXTENGO, PONIENTE 74, SANTA APOLONIA, AZCAPOTZALCO"
"20","C5-25-00020","PANTEONES","PANTEON SAN JOSE","PANTEON - CEMENTERIO","SAN CARLOS","SN","SN",2100,"CALZ DE LOS ANGELES","SAN MARTIN XOCHINAHUAC","AZCAPOTZALCO","HORMIGA",19.50088144,-99.19764593,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/10/2017","23/02/2022","12938","MC19146, MC19013","STREET VIEW",9,"VERDADERO",25,"C5-25-00020","PANTEON SAN JOSE, SAN CARLOS, CALZ DE LOS ANGELES, SAN MARTIN XOCHINAHUAC, AZCAPOTZALCO"
"21","C5-25-00021","PANTEONES","PANTEON SAN PEDRO XALPA","PANTEON - CEMENTERIO","MIGUEL HIDALGO","SN","SN",2710,"ENTRE ZARAGOZA Y JUSTO SI","SAN PEDRO XALPA","AZCAPOTZALCO","CLAVERIA",19.48399098,-99.21047001,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","4577","MC19015, MC19014, MC1635","STREET VIEW",9,"VERDADERO",25,"C5-25-00021","PANTEON SAN PEDRO XALPA, MIGUEL HIDALGO, ENTRE ZARAGOZA Y JUSTO SI, SAN PEDRO XALPA, AZCAPOTZALCO"
"22","C5-25-00022","PANTEONES","PANTEON SANTA LUCIA","PANTEON - CEMENTERIO","AV TEZOZOMOC","106","SN",2760,"CAM A NEXTENGO","SANTA LUCIA","AZCAPOTZALCO","CLAVERIA",19.476964,-99.199178,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/10/2017","23/02/2022","13113, 12918","MC1699, MC1702, MC19017","STREET VIEW",9,"VERDADERO",25,"C5-25-00022","PANTEON SANTA LUCIA, AV TEZOZOMOC, CAM A NEXTENGO, SANTA LUCIA, AZCAPOTZALCO"
"23","C5-25-00023","PANTEONES","PANTEON SAN JUAN TLIHUACA","PANTEON - CEMENTERIO","FCO GAMBOA","SN","SN",2409,"ROMAN ALVAREZ","SAN JUAN TLIHUACA","AZCAPOTZALCO","CLAVERIA",19.48770525,-99.20593828,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","9205","MC14168","STREET VIEW",9,"VERDADERO",25,"C5-25-00023","PANTEON SAN JUAN TLIHUACA, FCO GAMBOA, ROMAN ALVAREZ, SAN JUAN TLIHUACA, AZCAPOTZALCO"
"24","C5-25-00024","PANTEONES","PANTEON EL CALVARIO","PANTEON - CEMENTERIO","12 DE DICIEMBRE","SN","SN",5000,"ENTRE JUAREZ Y MEXICO","CUAJIMALPA","CUAJIMALPA DE MORELOS","CUAJIMALPA",19.359687,-99.300673,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","5793, 5792","MC3522","STREET VIEW",9,"VERDADERO",25,"C5-25-00024","PANTEON EL CALVARIO, 12 DE DICIEMBRE, ENTRE JUAREZ Y MEXICO, CUAJIMALPA, CUAJIMALPA DE MORELOS"
"25","C5-25-00025","PANTEONES","PANTEON SAN LORENZO","PANTEON - CEMENTERIO","OCAMPO","SN","SN",5410,"8 DE MARZO","SAN LORENZO ACOPILCO","CUAJIMALPA DE MORELOS","CUAJIMALPA",19.331697,-99.328526,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","6618","MC3720, MC19024, MC19027, MC19026, MC19025","STREET VIEW",9,"VERDADERO",25,"C5-25-00025","PANTEON SAN LORENZO, OCAMPO, 8 DE MARZO, SAN LORENZO ACOPILCO, CUAJIMALPA DE MORELOS"
"26","C5-25-00026","PANTEONES","PANTEON SAN PABLO CHIMALPA","PANTEON - CEMENTERIO","CONSTITUCION","SN","SN",5050,"ENTRE CONCORDIA Y 12 DE OOCTUBRE","SAN PABLO CHIMALPA","CUAJIMALPA DE MORELOS","CUAJIMALPA",19.3513,-99.3183,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","","MC3789","STREET VIEW",9,"VERDADERO",25,"C5-25-00026","PANTEON SAN PABLO CHIMALPA, CONSTITUCION, ENTRE CONCORDIA Y 12 DE OOCTUBRE, SAN PABLO CHIMALPA, CUAJIMALPA DE MORELOS"
"27","C5-25-00027","PANTEONES","PANTEON SANTA ELENA","PANTEON - CEMENTERIO","CHAMIXTO","21 A","SN",0,"AUTOPISTA A CUAJIMALPA-NA","ZENTLAPATL","CUAJIMALPA DE MORELOS","CUAJIMALPA",19.3529,-99.3065,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","1254, 13187","","STREET VIEW",9,"VERDADERO",25,"C5-25-00027","PANTEON SANTA ELENA, CHAMIXTO, AUTOPISTA A CUAJIMALPA-NA, ZENTLAPATL, CUAJIMALPA DE MORELOS"
"28","C5-25-00028","PANTEONES","PANTEON SAN ISIDRO","PANTEON - CEMENTERIO","EJE 3 NORTE (CALZ. SAN ISIDRO)","SN","SN",2440,"ENTRE CALZ. LAS ARMAS Y CALZ. RENACIMIENTO","PROVIDENCIA","AZCAPOTZALCO","CLAVERIA",19.4873,-99.2131,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","373, 12796, 13083 , 13082, 125, 10038, 4680, 13080, 9202, 17208, 13034, 360, 4644, 12871","MC1421, MC19009, MC14139, MC1483, MC1473, MC19011, MC19012","STREET VIEW",9,"VERDADERO",25,"C5-25-00028","PANTEON SAN ISIDRO, EJE 3 NORTE (CALZ. SAN ISIDRO), ENTRE CALZ. LAS ARMAS Y CALZ. RENACIMIENTO, PROVIDENCIA, AZCAPOTZALCO"
"29","C5-25-00029","PANTEONES","PANTEON SAN ANDRES","PANTEON - CEMENTERIO","EJE 4 NORTE (PONIENTE 128)","SN","SN",2340,"NORTE 35","SANTA CRUZ DE LAS SALINAS","AZCAPOTZALCO","LA RAZA",19.489,-99.1549,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","301, 12776","","STREET VIEW",9,"VERDADERO",25,"C5-25-00029","PANTEON SAN ANDRES, EJE 4 NORTE (PONIENTE 128), NORTE 35, SANTA CRUZ DE LAS SALINAS, AZCAPOTZALCO"
"30","C5-25-00030","PANTEONES","PANTEON CIVIL DE SAN NICOLAS TOLENTINO","PANTEON - CEMENTERIO","AV SAN LORENZO","SN","SN",9850,"IZTACCIHUATL","PARQUE NACIONAL CERRO DE LA ESTRELLA","IZTAPALAPA","ESTRELLA",19.3427,-99.0833,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","4939, 9281, 4938, 16328, 16973, 4911, 16972","MC8094, MC8095, MC8052, MC8073, MC8075, MC19193, MC19194, MC19202, MC19187, MC19050, MC18988, MC19186, MC19185, MC19195, MC19197, MC19196, MC19165, MC19184, MC19183, MC19163, MC18946, MC19164, MC17422, MC19191, MC19182, MC19181, MC19180, MC19178, MC19179, MC19176, MC19190, MC19177, MC19049, MC19155, MC19166, MC18851, MC17280, MC19167, MC19188, MC19198, MC19168, MC19169, MC19158, MC19157, MC19171, MC19048, MC19170, MC19161, MC19159, MC19200, MC19159, MC19160, MC19172, MC19199, MC19162, MC19173, MC19189, MC19174, MC19047, MC19201, MC19175, MC17400","STREET VIEW",9,"VERDADERO",25,"C5-25-00030","PANTEON CIVIL DE SAN NICOLAS TOLENTINO, AV SAN LORENZO, IZTACCIHUATL, PARQUE NACIONAL CERRO DE LA ESTRELLA, IZTAPALAPA"
"31","C5-25-00031","PANTEONES","PANTEON DE SAN FERNANDO (PANTEON CDMX)","PANTEON - CEMENTERIO","SAN FERNANDO","SN","SN",6300,"HEROES","GUERRERO","CUAUHTEMOC","BUENAVISTA",19.4393,-99.148,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","6209, 2330","MC14112","STREET VIEW",9,"VERDADERO",25,"C5-25-00031","PANTEON DE SAN FERNANDO (PANTEON CDMX), SAN FERNANDO, HEROES, GUERRERO, CUAUHTEMOC"
"32","C5-25-00032","PANTEONES","PANTEON FRANCES BUENOS AIRES","PANTEON - CEMENTERIO","EJE 1 PONIENTE (AV CUAUHTEMOC)","SN","SN",6780,"VIADUCTO (MIGUEL ALEMAN) Y EJE 3 SUR (MORONES PRIETO)","BUENOS AIRES","CUAUHTEMOC","ASTURIAS",19.4053,-99.1535,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","2192","MC4149, MC4225, MC3866, MC3957","STREET VIEW",9,"VERDADERO",25,"C5-25-00032","PANTEON FRANCES BUENOS AIRES, EJE 1 PONIENTE (AV CUAUHTEMOC), VIADUCTO (MIGUEL ALEMAN) Y EJE 3 SUR (MORONES PRIETO), BUENOS AIRES, CUAUHTEMOC"
"33","C5-25-00033","PANTEONES","PANTEON DE IZTAPALAPA (LA CUEBITA)","PANTEON - CEMENTERIO","EJE 8 SUR (CALZ. ERMITA IZTAPALAPA)","1269","SN",9000,"CAM. CERRO DE LA ESTRELLA Y E. CORONA","SAN PABLO","IZTAPALAPA","ESTRELLA",19.3575,-99.0922,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022","4956, 1627","MT4067","STREET VIEW",9,"VERDADERO",25,"C5-25-00033","PANTEON DE IZTAPALAPA (LA CUEBITA), EJE 8 SUR (CALZ. ERMITA IZTAPALAPA), CAM. CERRO DE LA ESTRELLA Y E. CORONA, SAN PABLO, IZTAPALAPA"
"34","C5-25-00034","PANTEONES","PANTEON SAN LORENZO TEZONCO","PANTEON - CEMENTERIO","AV  TLAHUAC","SN","SN",9790,"","PANTEON DE SAN LORENZO","IZTAPALAPA","TEZONCO",19.3107,-99.0615,"CAPA 25","EPSG:4326 - WGS 84 - GEOGRAFICA","01/01/2013","23/02/2022"," 17266, 16562, 682, 15232, 762, 16091, 16089, 5055, 15283, 7222, 16327","MC7255,  MC7304, MC8123, MC7603, MC19206,MC19226, MC19053, MC19205, MC19207, MC19224, MC19223, MC19225, MC19222, MC19208, MC19209, MC19210, MC19211, MC19218, MC19221, MC19220, MC19055, MC19054, MC19219, MC19213, MC19212, MC19214, MC19228, MC19215, MC19216, MC19227, MC19217","STREET VIEW",9,"VERDADERO",25,"C5-25-00034","PANTEON SAN LORENZO TEZONCO, AV  TLAHUAC, , PANTEON DE SAN LORENZO, IZTAPALAPA"
